Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6918,,4944.77,0.0014934777936,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZP7,,4872.16,0.0014715472645,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE692A16ID1,,4871.95,0.0014714838378,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZQ5,,4866.62,0.0014698740083,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZT9,,4861.87,0.0014684393573,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE562A16OA0,,4821.81,0.0014563399633,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6AM2,,4820.63,0.0014559835657,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE028A16GQ4,,2471.29,0.000746408172,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE028A16HY6,,2433.2,0.0007349037806,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZU7,,2430.54,0.000734100376,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INF0RQ622028,,8085.84,0.002442180826,0,,71915.917,2025-07-31
