Issuer,Total_Exposure_Crores,Total_Exposure_Lacs,Funds_Count,WA_Yield,Funds_List,Holdings_Count,Avg_Holding_Size_Crores
PTC SANSAR TRUST (AUGUST,24.225,2422.5,1,8.48,KOTAK,1,24.225
First Business Receivables Trust,24.086599999999997,2408.66,1,6.3625,ABSLF,1,24.086599999999997
IIFL Finance Limited**,20.0919,2009.19,1,8.6645,NIPPON,1,20.0919
Sikka Port and Terminal,15.228699999999998,1522.87,1,6.59,HDFC,1,15.228699999999998
Haryana SDL ISD 250625 Mat 250638,15.03,1503.0,1,7.148399999999999,HDFC,1,15.03
Muthoot Capital Services Limited**,14.935599999999999,1493.56,1,10.7475,NIPPON,1,14.935599999999999
Tata Capital Limited (10/09/2025),14.895,1489.5,1,6.429799999999999,ABSLF,1,14.895
Vivriti Capital Private Limited**,13.652899999999999,1365.29,1,9.825902206857151,NIPPON,2,6.8264499999999995
Highways Infrastructure Trust,12.753800000000002,1275.38,1,7.05,ABSLF,1,12.753800000000002
Gujarat SDL ISD 240124 Mat 240133^,10.471300000000001,1047.13,1,6.9311,HDFC,1,10.471300000000001
Larsen & Toubro Ltd.,10.2844,1028.44,1,6.58,ICICI,1,10.2844
Cube Highways Trust,10.238,1023.8,1,7.290000000000001,ABSLF,1,10.238
Grasim Industries Ltd. **,10.2365,1023.65,1,6.52,ICICI,1,10.2365
MINDSPACE BUSINESS PARKS REIT**,10.0928,1009.28,1,6.82,KOTAK,1,10.0928
SMFG India Home Finance Company Limited**,10.0517,1005.17,1,6.744999999999999,NIPPON,1,10.0517
Muthoot Fincorp Ltd**,10.0388,1003.88,1,9.4341,NIPPON,1,10.0388
Summit Digitel Infrastructure Limited**,10.0192,1001.92,1,6.515,NIPPON,1,10.0192
CGL 2035,9.9659,996.59,1,6.4774135,SBI,1,9.9659
Vedanta Limited,5.0395,503.95,1,9.1,NIPPON,1,5.0395
Trust Investment Advisors Private,4.9751,497.51,1,8.699900000000001,NIPPON,1,4.9751
Incred Financial Services Limited**,4.9468,494.68,1,10.535,NIPPON,1,4.9468
GS CG 12 Apr,3.3113,331.13,1,5.66,KOTAK,1,3.3113
Tamil Nadu SDL MAT 270729^,3.1513999999999998,315.14,1,6.3884,HDFC,1,3.1513999999999998
Tamil Nadu State Govt,3.0542000000000002,305.42,1,5.82,KOTAK,1,3.0542000000000002
Kotak Mahindra Investments Limited,2.0433000000000003,204.33,1,7.095,ABSLF,1,2.0433000000000003
Tata Capital Housing Finance Limited,1.0177,101.77,1,6.8198,ABSLF,1,1.0177
Maharashtra SDL ISD 120423 Mat 120428^,0.66,66.0,1,6.1737,HDFC,1,0.66
Hindustan Petroleum Corporation Ltd.,0.5141,51.41,1,6.53,ICICI,1,0.5141
Yes Bank Limited,0.0,0.0,1,,NIPPON,2,0.0
